Temperature,Cv Birch-Murnaghan,Cp Birch-Murnaghan,Cp experimental
70.16,0.05996148979528437,0.05996163208164898,0.0938
75.37,0.07433605225277692,0.07433628717632926,0.124
81.59,0.09430073172314898,0.09430114098035393,0.152
88.65,0.12095977719166057,0.12096050881971679,0.189
96.68,0.15689716048218888,0.15689850292877355,0.248
105.1,0.20156376931044176,0.20156617787644626,0.329
113.04,0.25078203899502266,0.2507860491097051,0.415
125.28,0.34136417628553056,0.3413724110481644,0.578
134.29,0.4203852209112102,0.42039860761677145,0.729
144.1,0.5192506755073224,0.5192725912108408,0.913
153.71,0.6298629069760344,0.629897305051495,1.118
162.76,0.7471243323900358,0.7471755803308943,1.331
173.33,0.9008321445832949,0.9009114875836922,1.616
181.96,1.0401034528285433,1.0402144930138781,1.859
191.44,1.207620526075431,1.20777801497393,2.169
200.94,1.3908364786170146,1.391055749365499,2.491
211.84,1.6198543854552052,1.6201679521831927,2.868
231.06,2.07117535500117,2.0717345271832905,3.592
241.09,2.329527415060897,2.330265510465088,3.843
252.37,2.637392912078218,2.638383284273631,4.325
264.31,2.9816524828938022,2.9829782120647725,4.76
276.61,3.354028149654275,3.355783836949137,5.263
287.96,3.7116569467035103,3.71389532171372,5.673
300.0,4.1036102080509815,4.106460839468591,6.196
320.0,4.7774469980066145,4.7815686568616975,7.03
340.0,5.471178439118511,5.4769225149144924,7.863
360.0,6.175712026376204,6.183462210904519,8.679
380.0,6.8829937864299024,6.89315712831041,9.475
400.0,7.586146525702649,7.599144336996175,10.24
420.0,8.27947753354689,8.295736735327148,10.97
440.0,8.958427270724496,8.978372690327985,11.67
460.0,9.619464359121373,9.643512192927068,12.34
480.0,10.259958429435912,10.288510947109135,12.97
500.0,10.878056919522232,10.911498472126361,13.57
550.0,12.318664606632224,12.365869095782829,14.94
600.0,13.60680313652587,13.669676904278726,16.13
650.0,14.748168260711205,14.82825079096999,17.16
700.0,15.754471727425496,15.852968575491168,18.05
750.0,16.63976301639215,16.75759516386015,18.83
800.0,17.418346052895743,17.556201539715214,19.51
850.0,18.10372781093054,18.262109630590178,20.11
900.0,18.708130324342626,18.887397056106973,20.65
950.0,19.24235326656549,19.442752772663475,21.14
1000.0,19.7157949309375,19.937491076749172,21.61
1050.0,20.136564114726017,20.379657841933923,22.06
1100.0,20.51162163388772,20.77616727891993,22.52
