Temperature,Volume,F,Debye Temperature,B,E,alpha,Cv,Cp
1.0,77.29391973615446,-22.75531919287394,,417.4722395263557,1435.6949154741803,,,
2.0,77.293922039038,-22.755319192874104,,417.4721953844007,1435.6947636691636,,,
3.0,77.29391589386303,-22.75531919287482,,417.4723131758842,1435.6951687562998,,,
4.0,77.29392089544251,-22.75531919287675,,417.47221730497887,1435.694839054446,4.917942684074e-12,1.1111760978501507e-05,1.1111760978780089e-05
5.0,77.29392316896543,-22.755319192880815,,417.4721737258145,1435.6946891848766,9.605358605216817e-12,2.170266060184472e-05,2.1702660603173106e-05
6.0,77.29392204097057,-22.755319192888212,,417.47219534735683,1435.6947635417691,1.6598058126278284e-11,3.75021954274778e-05,3.750219543223764e-05
7.0,77.29392318661048,-22.755319192900387,,417.47217338759214,1435.6946880217236,2.6357104051056785e-11,5.955210074344038e-05,5.9552100757443365e-05
8.0,77.29392204480855,-22.75531919291907,,417.4721952737899,1435.694763288771,3.934354520066399e-11,8.889409288200885e-05,8.889409291766745e-05
9.0,77.29392319287506,-22.75531919294624,,417.47217326751206,1435.694687608766,5.601845149604667e-11,0.00012656991677965332,0.00012656991686097978
10.0,77.29392205332529,-22.755319192984143,,417.47219511054004,1435.6947627273516,7.684286177400154e-11,0.00017362127523331771,0.00017362127540335114
11.0,77.2939159124535,-22.75531919303529,,417.4723128195397,1435.6951675308244,1.022777972409655e-10,0.00023108984713917085,0.00023108984747051759
12.0,77.2939220691276,-22.75531919310247,,417.4721948076394,1435.6947616856708,1.3278446531846455e-10,0.0003000175638376886,0.00030001756444694906
13.0,77.29391724324785,-22.75531919318871,,417.47228731070334,1435.6950798054543,1.688237003694148e-10,0.000381445850928801,0.00038144585199573476
14.0,77.29392323899711,-22.75531919329733,,417.47217238343904,1435.6946845684222,2.108568333191234e-10,0.00047641680718208047,0.0004764168089744625
15.0,77.29392211228831,-22.75531919343189,,417.47219398032956,1435.6947588405365,2.593446597479488e-10,0.0005859718056215186,0.0005859718085266988
16.0,77.29391844181946,-22.755319193596232,,417.47226433633114,1435.6950007961545,3.147482681123693e-10,0.0007111526163114556,0.0007111526208757531
17.0,77.29392101640317,-22.755319193794453,,417.47221498639004,1435.6948310807752,3.77528947621961e-10,0.0008530012814691256,0.0008530012884462531
18.0,77.29392333553683,-22.755319194030918,,417.47217053295407,1435.6946782045693,4.4814761723922923e-10,0.0010125593413827128,0.0010125593517925006
19.0,77.29392337300649,-22.755319194310257,,417.47216981473093,1435.6946757345866,5.270652462515937e-10,0.0011908684045638864,0.0011908684197626952
20.0,77.29392227227693,-22.755319194637362,,417.47219091364843,1435.6947482941623,6.147429052887205e-10,0.0013889702169099006,0.0013889702386741779
21.0,77.29392119255014,-22.755319195017396,,417.47221160998333,1435.6948194692488,7.116416923876097e-10,0.00160790656147302,0.0016079065920975395
22.0,77.2939235239955,-22.755319195455773,,417.47216692055554,1435.6946657814626,8.182228913758894e-10,0.0018487194731743668,0.0018487195155867933
23.0,77.29391630047368,-22.755319195958187,,417.4723053819191,1435.6951419527068,9.349466557768205e-10,0.0021124494546270207,0.0021124495125203853
24.0,77.29392139271523,-22.75531919653059,,417.47220777319427,1435.6948062744589,1.0622756633096004e-09,0.002400140430394785,0.002400140508380117
25.0,77.29392031949685,-22.75531919717919,,417.4722283447765,1435.6948770205186,1.2006695435931578e-09,0.002712832192854664,0.002712832296634799
26.0,77.29392221487055,-22.755319197910477,,417.4721920140209,1435.6947520783638,1.3505901565273275e-09,0.0030515675578856876,0.003051567694453299
27.0,77.29392395607579,-22.75531919873119,,417.47215863838875,1435.6946372989346,1.5124982855601986e-09,0.003417387882064608,0.003417388059925607
28.0,77.29391864299974,-22.755319199648344,,417.47226048008207,1435.6949875344412,1.686854027392648e-09,0.003811333590972746,0.0038113338203975096
29.0,77.29391692209786,-22.755319200669206,,417.4722934665472,1435.6951009755178,1.874119762992385e-09,0.004234448206879718,0.004234448500185051
30.0,77.29392434662739,-22.75531920180132,,417.47215115224907,1435.6946115539588,2.07475766016439e-09,0.004687774963079209,0.004687775334942392
